Match ID, start time, Game Duration,Game Mode, queueid, Game type, Game Version,Participant ID,Champion Name,Kills,Deaths,Assists,Gold Earned,Summoner Spell 1,Summoner Spell 2,First Blood Kill,Damage Dealt to Buildings,Game Ended in Surrender,Largest Multi Kill,Longest Time Spent Living,Total Minions Killed,Total Damage Dealt to Champions,Time CCing Others,Detector Wards Placed,Vision Score,Win
EUW1_6913739942,1713913979387,106,CLASSIC,5v5 Draft Pick games,MATCHED_GAME14.8.576.8838,9,Xayah,0,0,0,500,exhaust,flash,False,0,False,0,0,0,149,0,0,1,True
EUW1_6913242272,1713895951208,1419,CLASSIC,5v5 Ranked Solo games,MATCHED_GAME14.8.576.8838,4,Xayah,11,6,9,10748,heal,flash,True,4813,False,2,473,127,25544,18,0,9,True
EUW1_6913164089,1713893001122,2674,CLASSIC,5v5 Ranked Solo games,MATCHED_GAME14.8.576.8838,9,Xayah,10,12,8,18907,heal,flash,False,11474,False,2,617,273,31979,30,0,15,True
EUW1_6913099891,1713890165839,2384,CLASSIC,5v5 Ranked Solo games,MATCHED_GAME14.8.576.8838,9,Xayah,13,13,14,18689,heal,flash,False,8386,False,2,432,228,42373,28,0,21,False
EUW1_6913050113,1713888291063,1478,CLASSIC,5v5 Ranked Solo games,MATCHED_GAME14.8.576.8838,4,Xayah,1,10,4,7593,heal,flash,False,3829,True,1,256,147,5893,14,0,16,False
EUW1_6912303911,1713826759642,1060,CLASSIC,5v5 Draft Pick games,MATCHED_GAME14.8.576.8838,4,Xayah,11,1,1,8657,exhaust,flash,False,2410,True,3,325,119,14051,17,1,7,True
EUW1_6912247289,1713824056420,1867,CLASSIC,5v5 Draft Pick games,MATCHED_GAME14.8.576.8838,9,Xayah,8,9,6,11663,exhaust,flash,False,3671,False,2,343,168,13810,13,0,13,False
EUW1_6912178209,1713821163680,2581,CLASSIC,5v5 Draft Pick games,MATCHED_GAME14.8.576.8838,9,MissFortune,4,15,10,12959,exhaust,flash,False,4059,False,1,542,142,19929,14,0,13,False
EUW1_6912105220,1713818659135,1999,CLASSIC,5v5 Draft Pick games,MATCHED_GAME14.8.576.8838,7,Xayah,9,12,7,12030,exhaust,flash,False,3989,False,2,474,153,24052,26,0,15,True
EUW1_6911834177,1713810246391,1256,CLASSIC,5v5 Ranked Solo games,MATCHED_GAME14.8.576.8838,4,Tristana,2,6,4,7091,heal,flash,True,737,False,1,670,128,10879,5,1,11,False
EUW1_6911749970,1713807271514,2666,CLASSIC,5v5 Ranked Solo games,MATCHED_GAME14.8.576.8838,9,MissFortune,12,13,9,18341,heal,flash,False,6676,True,3,455,195,41832,13,0,15,True
EUW1_6911702210,1713805611423,1151,CLASSIC,5v5 Ranked Solo games,MATCHED_GAME14.8.576.8838,4,Xayah,0,5,0,6073,exhaust,flash,False,1306,True,0,569,133,4791,6,0,8,False
